date,sku,brand,segment,category,channel,region,pack_type,price_unit,promotion_flag,delivery_days,stock_available,delivered_qty,units_sold,revenue
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Multipack,2.38,0,1,141,128,9,21.42
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Single,1.55,1,3,0,129,0,0
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Carton,4,0,5,118,161,8,32
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Single,5.16,0,2,81,114,7,36.12
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Single,7.66,0,4,148,204,12,91.92
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Carton,5.09,1,3,163,154,25,127.25
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,8.58,0,2,140,156,7,60.06
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Carton,4.21,0,3,194,185,17,71.57
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,8.27,0,2,180,161,14,115.78
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,5.66,0,5,117,192,5,28.3
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,2.6,1,5,294,249,38,98.8
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Multipack,3.86,0,3,191,198,12,46.32
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Multipack,6.9,0,3,267,281,22,151.8
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Carton,5.34,0,1,160,140,11,58.74
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Single,2.93,0,5,181,158,17,49.81
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Carton,7.96,0,1,88,106,9,71.64
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Single,2.51,0,4,119,191,8,20.08
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Multipack,8.56,0,1,161,172,11,94.16
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-Central,Single,5.66,0,2,168,183,10,56.6
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Carton,2.22,0,3,130,140,10,22.2
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,8.96,0,4,213,232,11,98.56
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,7.3,0,5,131,167,5,36.5
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,3.21,0,5,165,140,14,44.94
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Carton,4.84,0,5,213,189,15,72.6
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Single,6.16,1,2,285,246,43,264.88
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Single,6.98,0,1,153,161,10,69.8
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,3.7,0,4,96,140,10,37
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Multipack,5.54,0,4,190,188,14,77.56
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-Central,Single,2.32,0,3,130,139,9,20.88
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Multipack,2.57,0,2,132,151,9,23.13
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Multipack,4.71,0,3,254,219,16,75.36
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Multipack,7.09,0,2,149,127,9,63.81
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Multipack,3.95,0,4,176,185,16,63.2
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Single,7.47,1,4,124,111,16,119.52
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,4.1,0,3,84,91,3,12.3
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Single,7.41,0,2,160,138,13,96.33
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Carton,5.31,0,1,174,217,11,58.41
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Single,7.6,0,4,164,201,11,83.6
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Single,1.79,0,2,213,221,18,32.22
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Multipack,7.66,0,1,212,179,11,84.26
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Multipack,6.81,0,3,133,188,9,61.29
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Single,5.03,0,2,0,159,0,0
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Single,5.51,0,1,177,171,7,38.57
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Carton,2.5,0,5,232,202,14,35
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-South,Carton,5.46,0,1,148,136,9,49.14
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Multipack,7.42,0,5,207,214,18,133.56
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-South,Carton,5.87,1,3,197,207,26,152.62
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,3.49,0,5,230,211,22,76.78
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,8.03,0,2,152,138,11,88.33
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Single,1.51,0,4,132,167,7,10.57
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,6.99,0,1,193,173,13,90.87
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Multipack,6.08,0,4,101,121,9,54.72
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Multipack,7.12,0,2,92,100,3,21.36
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Carton,5.28,0,5,177,252,11,58.08
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Carton,3.86,0,2,120,165,8,30.88
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Multipack,3.49,0,5,211,180,15,52.35
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Multipack,6.29,0,2,75,122,5,31.45
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Multipack,5.93,0,2,136,162,10,59.3
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-South,Single,4.95,1,5,212,187,31,153.45
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-Central,Carton,6.35,0,2,136,198,9,57.15
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Multipack,2.01,0,4,111,106,7,14.07
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-South,Single,2.85,0,1,126,196,10,28.5
26/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Single,1.7,0,4,131,199,7,11.9
26/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Carton,5.54,1,2,225,255,29,160.66
26/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Single,3.38,0,3,139,230,12,40.56
26/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Carton,2.51,0,4,158,185,9,22.59
26/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Single,3.77,0,5,88,115,8,30.16
26/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,4.23,0,1,213,197,19,80.37
26/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Carton,3.25,0,5,216,266,17,55.25
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-Central,Multipack,5.54,0,3,181,177,13,72.02
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Carton,7.86,0,2,150,133,10,78.6
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Multipack,6.19,0,1,92,100,6,37.14
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Single,2.29,0,5,121,197,13,29.77
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Single,3.84,1,3,145,174,19,72.96
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-South,Carton,7.14,0,4,104,173,8,57.12
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-Central,Multipack,6.04,0,1,149,170,9,54.36
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Single,5.24,0,4,0,202,0,0
26/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-South,Single,2.68,0,4,216,183,14,37.52
27/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Multipack,4.28,0,1,179,171,16,68.48
27/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Single,5.59,0,3,131,214,12,67.08
27/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Carton,8.25,0,2,168,209,11,90.75
27/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Single,4.88,0,5,103,169,8,39.04
27/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Single,4.92,0,5,123,103,8,39.36
27/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Single,1.54,0,3,147,245,10,15.4
27/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Carton,1.51,0,2,141,142,9,13.59
27/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Carton,2.38,0,2,94,149,8,19.04
27/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Carton,4.19,0,1,142,172,11,46.09
27/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Carton,3.91,0,1,212,198,18,70.38
27/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Carton,2.33,0,1,152,211,10,23.3
27/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-South,Single,8.24,0,3,100,123,7,57.68
27/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-Central,Carton,7.64,0,1,192,166,17,129.88
27/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Multipack,2.85,1,2,174,213,26,74.1
27/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-South,Carton,2.72,0,1,186,174,18,48.96
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Single,8.97,0,3,228,229,18,161.46
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,2.24,1,1,174,176,30,67.2
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Multipack,5.46,0,1,167,149,7,38.22
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,7.33,0,4,135,144,9,65.97
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Single,8.71,0,4,214,192,16,139.36
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Single,5.94,0,3,188,166,15,89.1
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Multipack,1.88,0,4,228,201,16,30.08
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,2.49,1,4,58,92,9,22.41
28/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Single,7.31,0,4,131,118,12,87.72
28/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-Central,Single,8.49,0,5,203,192,16,135.84
28/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Carton,6.53,1,3,219,230,26,169.78
28/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Multipack,7.51,0,4,44,52,2,15.02
28/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Single,1.62,0,5,256,215,18,29.16
28/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-South,Multipack,8.46,1,5,148,191,21,177.66
28/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-Central,Carton,6.72,0,4,291,247,27,181.44
28/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-South,Carton,6.52,0,2,147,177,13,84.76
29/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Multipack,3.57,0,1,108,180,8,28.56
29/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,6.88,0,1,173,277,9,61.92
29/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Multipack,6.5,0,4,244,213,14,91
29/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Multipack,2,1,2,257,223,22,44
29/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Multipack,5.74,0,3,132,193,7,40.18
29/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Single,6.74,0,3,153,159,10,67.4
29/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,8.52,0,2,121,152,6,51.12
