date,sku,brand,segment,category,channel,region,pack_type,price_unit,promotion_flag,delivery_days,stock_available,delivered_qty,units_sold,revenue
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Multipack,2.38,0.0,1.0,141.0,128.0,9.0,21.42
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Single,1.55,1.0,3.0,0.0,129.0,0.0,0.0
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Carton,4.0,0.0,5.0,118.0,161.0,8.0,32.0
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Single,5.16,0.0,2.0,81.0,114.0,7.0,36.12
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Single,7.66,0.0,4.0,148.0,204.0,12.0,91.92
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Carton,5.09,1.0,3.0,163.0,154.0,25.0,127.25
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,8.58,0.0,2.0,140.0,156.0,7.0,60.06
21/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Carton,4.21,0.0,3.0,194.0,185.0,17.0,71.57
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,8.27,0.0,2.0,180.0,161.0,14.0,115.78
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,5.66,0.0,5.0,117.0,192.0,5.0,28.3
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,2.6,1.0,5.0,294.0,249.0,38.0,98.8
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Multipack,3.86,0.0,3.0,191.0,198.0,12.0,46.32
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Multipack,6.9,0.0,3.0,267.0,281.0,22.0,151.8
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Carton,5.34,0.0,1.0,160.0,140.0,11.0,58.74
22/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Single,2.93,0.0,5.0,181.0,158.0,17.0,49.81
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Carton,7.96,0.0,1.0,88.0,106.0,9.0,71.64
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Single,2.51,0.0,4.0,119.0,191.0,8.0,20.08
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Multipack,8.56,0.0,1.0,161.0,172.0,11.0,94.16
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-Central,Single,5.66,0.0,2.0,168.0,183.0,10.0,56.6
22/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Carton,2.22,0.0,3.0,130.0,140.0,10.0,22.2
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,8.96,0.0,4.0,213.0,232.0,11.0,98.56
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,7.3,0.0,5.0,131.0,167.0,5.0,36.5
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,3.21,0.0,5.0,165.0,140.0,14.0,44.94
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Carton,4.84,0.0,5.0,213.0,189.0,15.0,72.6
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Single,6.16,1.0,2.0,285.0,246.0,43.0,264.88
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Single,6.98,0.0,1.0,153.0,161.0,10.0,69.8
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,3.7,0.0,4.0,96.0,140.0,10.0,37.0
23/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Multipack,5.54,0.0,4.0,190.0,188.0,14.0,77.56
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-Central,Single,2.32,0.0,3.0,130.0,139.0,9.0,20.88
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Multipack,2.57,0.0,2.0,132.0,151.0,9.0,23.13
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Multipack,4.71,0.0,3.0,254.0,219.0,16.0,75.36
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Multipack,7.09,0.0,2.0,149.0,127.0,9.0,63.81
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Multipack,3.95,0.0,4.0,176.0,185.0,16.0,63.2
23/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Single,7.47,1.0,4.0,124.0,111.0,16.0,119.52
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,4.1,0.0,3.0,84.0,91.0,3.0,12.3
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Single,7.41,0.0,2.0,160.0,138.0,13.0,96.33
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Carton,5.31,0.0,1.0,174.0,217.0,11.0,58.41
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Single,7.6,0.0,4.0,164.0,201.0,11.0,83.6
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Single,1.79,0.0,2.0,213.0,221.0,18.0,32.22
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Multipack,7.66,0.0,1.0,212.0,179.0,11.0,84.26
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Multipack,6.81,0.0,3.0,133.0,188.0,9.0,61.29
24/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Single,5.03,0.0,2.0,0.0,159.0,0.0,0.0
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Single,5.51,0.0,1.0,177.0,171.0,7.0,38.57
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Carton,2.5,0.0,5.0,232.0,202.0,14.0,35.0
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-South,Carton,5.46,0.0,1.0,148.0,136.0,9.0,49.14
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Multipack,7.42,0.0,5.0,207.0,214.0,18.0,133.56
24/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-South,Carton,5.87,1.0,3.0,197.0,207.0,26.0,152.62
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,3.49,0.0,5.0,230.0,211.0,22.0,76.78
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,8.03,0.0,2.0,152.0,138.0,11.0,88.33
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Single,1.51,0.0,4.0,132.0,167.0,7.0,10.57
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,6.99,0.0,1.0,193.0,173.0,13.0,90.87
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Multipack,6.08,0.0,4.0,101.0,121.0,9.0,54.72
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Multipack,7.12,0.0,2.0,92.0,100.0,3.0,21.36
25/01/2022,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Carton,5.28,0.0,5.0,177.0,252.0,11.0,58.08
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Carton,3.86,0.0,2.0,120.0,165.0,8.0,30.88
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Multipack,3.49,0.0,5.0,211.0,180.0,15.0,52.35
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Multipack,6.29,0.0,2.0,75.0,122.0,5.0,31.45
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Multipack,5.93,0.0,2.0,136.0,162.0,10.0,59.3
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-South,Single,4.95,1.0,5.0,212.0,187.0,31.0,153.45
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-Central,Carton,6.35,0.0,2.0,136.0,198.0,9.0,57.15
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Multipack,2.01,0.0,4.0,111.0,106.0,7.0,14.07
25/01/2022,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-South,Single,2.85,0.0,1.0,126.0,196.0,10.0,28.5
